Product URL,Product Name,Product Price,Rating,Number of Reviews
/Red-Lemon-Business-Backpack-Waterproof/dp/B09ZYNHVKZ,"Red Lemon BANGE Captain Business Smart Backpack Waterproof fit 15.6 Inch Laptop Backpack with USB Charging Port,Travel Durable Backpack for Men and Women","3,497",4.5 out of 5 stars,445
/Nelle-Harper-Womens-Shoulder-Ligh/dp/B07R6DRCZM,Nelle Harper Women Handbag,679,4.0 out of 5 stars,"2,453"
/Gear-Executive-Anti-Theft-Backpack-BKPPKREXE0101/dp/B097KCMQKG,Gear Parker 23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black,695,4.3 out of 5 stars,492
/Sirona-Sanitary-Napkin-Diapers-Disposal/dp/B01NAZVN8M,"Sirona Sanitary Disposal Bags | 75 Bags | Pad Disposable Bags for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner & Personal Hygiene Waste (Green)",215,4.4 out of 5 stars,"3,309"
/Essentials-Laptop-Sleeve-13-3-Inch-Accessories/dp/B09RF47WDL,"Gizga Essentials Laptop Bag Sleeve Case Cover Pouch for 13.3 Inch Laptop for Men & Women, Padded Laptop Compartment, Free Accessories Pouch, Premium Zipper Closure, Water Repellent Nylon Fabric, Grey",298,4.1 out of 5 stars,116
/Storite-Sling-Bag-Shoulder-25-5cmx7cmx20cm/dp/B09P3RQPCG,Storite Stylish Small PU Leather Sling Cross Body Travel Office Business Messenger One Side Shoulder Bag for Men Women (25.5 x7x20cm),749,4.0 out of 5 stars,285
/Half-Moon-Messenger-Multi-Pocket-Adjustable/dp/B0C5CFCLLJ,Half Moon Urban Explorer PU Leather Stylish Side Sling Cross Body Travel Office Business Messenger Bag with Multi-Pocket Zip Closure and Adjustable Straps For Men Women,269,3.3 out of 5 stars,38
/HARISSONS-Backpack-Black-Grey-Repellent-Organizer/dp/B08LBLKYRY,"HARISSONS Speckle 36L Laptop Backpack for Men & Women | Ideal School Bag with Easy Access Pockets & Handy Pouch | Water Repellent 15.6"" Office Backpack with a Detailed Organizer","1,889",4.3 out of 5 stars,433
/KILLER-Polyester-Navy-Laptop-Backpack/dp/B07B51CTNF,KILLER Casual College Bags Munich 29L Trendy Polyester Laptop Backpack,"1,119",4.1 out of 5 stars,734
/Kuber-Industries-Biodegradable-Warehouse-Washroom/dp/B0C3QR3YJV,"Kuber Industries 30 Biodegradable Garbage Bags Small|Plastic Dustbin Bags|Trash Bags For Kitchen, Office, Warehouse, Pantry or Washroom 5 LTR (Black)",63,3.8 out of 5 stars,556
/lynx-School-compartments-Backpack-Trending/dp/B08GJKNQ9F,lynx School Bag & Travel with 4 compartments 15.6 inch Laptop Bag/Backpack for Girls and Boys Trending Backpack for Men and Women (Black),419,3.1 out of 5 stars,16
/POLESTAR-Backpack-compartment-polyester-warranty/dp/B09RWTQ1VW,"POLESTAR Noble 32 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",579,3.9 out of 5 stars,"17,857"
/Lavie-Womens-Closure-Satchel-Handbag_Chocolate/dp/B07DJ9Q1NY,Lavie Women's Ficus Satchel Bag | Ladies Purse Handbag,"1,599",4.1 out of 5 stars,"4,608"
/Tabelito%C2%AE-Resistant-Business-Backpack-Notebook/dp/B0CGP32XKK,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook",349,N/A,M.R.P: 
/WILD-MODA-Womens-Shoulder-Turquoise/dp/B099PLT91X,"WILD MODA Women's Shoulder Bag, Set of 1",849,4.2 out of 5 stars,"4,338"
/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=XYB6H&content-id=amzn1.sym.1c7db1d2-1fe9-496b-8f07-8ed64c022066:amzn1.sym.1c7db1d2-1fe9-496b-8f07-8ed64c022066&pf_rd_p=1c7db1d2-1fe9-496b-8f07-8ed64c022066&pf_rd_r=0NEXJZR01AV4DZZ53YXN&pd_rd_wg=TdFro&pd_rd_r=c724caf1-8e51-48bf-974f-978b3883ee1d&qid=1697645104,N/A,N/A,N/A,"
                                                    bags for girls
                                                "
/gp/help/customer/display.html?nodeId=201889520,N/A,N/A,N/A, or 
/Red-Lemon-Capacity-Backpack-Multifunctional/dp/B09RK4BRPM,"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","1,597",4.3 out of 5 stars,"1,324"
